platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,B0D5BX6HBN,Samsung Galaxy A05 Clear Case with Card Slot Soft TPU Bumper Slim Protective Cover with Card Holder Cute Card Holder Slim Fit Protective Phone Cover - Clear,,Samsung phone,EGP 49.00,,,,,,,,https://m.media-amazon.com/images/I/61xJkqEuoeL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0D5BX6HBN,2026-03-28T17:21:08.905029
amazon,B0FV7L4L5T,Compatible with Samsung Galaxy S25 Edge Case Cover Premium Slim Soft Shockproof Wallet Case with Card Holder and Camera Protection for Samsung s25 edge by Grabist Clear (Samsung Galaxy S25 edge),,Samsung phone,EGP 50.00,,,,,,,,https://m.media-amazon.com/images/I/61TLkti9BZL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FV7L4L5T,2026-03-28T17:21:08.905384
amazon,B0FGXN61TV,"Silicone Phone Case, Shockproof, Flexible with Scratch-Resistant, Anti-Fingerprint, Raised Edges for Full Camera And Screen Protection, Compatible with Samsung S24 plus - Clear",,Samsung phone,EGP 47.88,,,,,,,,https://m.media-amazon.com/images/I/61G1m2BjuRL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FGXN61TV,2026-03-28T17:21:08.905726
amazon,B0CSG2PLGM,(Samsung Galaxy A05) Clear Case Soft TPU Silicone Bumper Reinforced Corner Full Camera Protection for Samsung Galaxy A05,,Samsung phone,EGP 44.50,EGP 69.00,,3.2,List:,,,,https://m.media-amazon.com/images/I/61ceEemAm6L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CSG2PLGM,2026-03-28T17:21:08.906200
amazon,B0F99WMYK7,"Tempered Glass Screen Protector, 9H Hardness, Full Coverage, Ultra Clear, Bubble Free Easy Installation, High Touch Sensitivity Compatible with Samsung Galaxy A30- clear",,Samsung phone,EGP 37.05,,,1.0,,,,,https://m.media-amazon.com/images/I/51PTGBGi0FL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0F99WMYK7,2026-03-28T17:21:08.906591
amazon,B0FGXPKFHB,"Silicone Phone Case, Shockproof, Flexible with Scratch-Resistant, Anti-Fingerprint, Raised Edges for Full Camera And Screen Protection, Compatible with Samsung S24 Ultra - Clear",,Samsung phone,EGP 46.30,,,5.0,,,,,https://m.media-amazon.com/images/I/51xf4m4EdOL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FGXPKFHB,2026-03-28T17:21:15.677085
amazon,B0CDGR2LD8,Plastic Phone Protection Hard Cover With Colored Silicon Edges For Samsung Galaxy A5/A7/A3S/A5S/A12/F9 6.2 Inch - Navy,,Samsung phone,EGP 48.58,,,2.4,,,,,https://m.media-amazon.com/images/I/41rhX+2jFoL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CDGR2LD8,2026-03-28T17:21:15.677531
amazon,B091C218GS,Waterproof Mobile Cover -Sky Blue,,Samsung phone,EGP 49.90,EGP 58.80,,3.6,List:,,,,https://m.media-amazon.com/images/I/618k9X6RwbL._AC_UL320_.jpg,https://www.amazon.eg/dp/B091C218GS,2026-03-28T17:21:15.677999
amazon,B0CKMVMXR5,Plastic Hard Back Phone Case With Colored Silicone Edges And Semi Transparent Back For Samsung Galaxy A01 / A015F 5.7 inch - Navy Green,,Samsung phone,EGP 34.20,,,,,,,,https://m.media-amazon.com/images/I/512Q019BQxL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKMVMXR5,2026-03-28T17:21:15.678396
amazon,B0CKMWNS1H,Plastic Hard Back Phone Case With Colored Silicone Edges And Semi Transparent Back For Samsung Galaxy A01 / A015F 5.7 inch - White Red,,Samsung phone,EGP 34.20,,,,,,,,https://m.media-amazon.com/images/I/21LL9Tn8OhL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKMWNS1H,2026-03-28T17:21:15.678752
